section;field_id;field_label;control_type;help_enabled;help_text;poznamka
Zaklad;btn-load;Nacitat ulozeny TV;button;no;;
Zaklad;motivInput;Motiv;text;no;;
Hlavicka;refPartA;Cislo referencneho vzoru - cast A;text;no;;
Hlavicka;refPartB;Cislo zmeny;text;no;;
Hlavicka;porCislo;Por. cislo vyrobku;text;no;;
Hlavicka;finalNavinNumber;Finalny navin - cislo;select;no;;
Hlavicka;finalNavinLetter;Finalny navin - varianta;select;no;;
Hlavicka;printSide;Sposob tlace;select;no;;
Hlavicka;printOps;Pocet operacii;select;yes;pocet operacii po potlaceni;
Hlavicka;btnOpenFirmManager;Firmy (sprava);button;no;;
Zakladne rozmery;BagWidth;Pozadovana sirka vrecka;number;yes;sirka hotoveho vrecka po deformacii;
Zakladne rozmery;L;Dlzka (L);number;no;;
Zakladne rozmery;W;Sek (W);number;no;;
Zakladne rozmery;G;Rucka (G);number;yes;niekedy aj rucka;
Zakladne rozmery;K;Chlopna (K);number;no;;
Easy open;PerfShape;Tvar easy open;select;no;;
Easy open;PerfSide;Strana easy open;select;yes;
Easy open;PerfOffset;Odsadenie easy open;number;no;;
Easy open;PerfHalfLen;Dlzka vodorovnej casti;number;no;;
Easy open;FingerHole;Otvor na prst;select;no;;
Bokorys;SideClipView;Zavesna spona v bokoryse;select;no;;
Zavesne otvory;Cpitch;Vzdialenost zavesnych otvorov;number;no;;
Zavesne otvory;AxisInK;Umiestnenie stredu otvorov (od vrecka);number;yes;umiestnenie na chlopni od vrecka;
Zaseky;NotchLen;Dlzka zaseku;number;no;;
Zaseky;toggle-notch-shift;Zaseky posunute;checkbox;yes;nie su v jednej rovine so stredom otvorov;
Zaseky;NotchShift;Posun zasekov;number;yes;minus do vnutra, plus vonku;
Zaseky;Mostik;Mostik;number-readonly;yes;miesto medzi zasekom a otvorom;
Zaseky;toggle-notches;Zobrazit zaseky;checkbox;no;;
Vzduchove otvory;AirEdge;Vzduch. otvor od okraja;number;no;;
Vzduchove otvory;AirXAbs;Prvy vzduch. otvor od rucky;number;no;;
Vzduchove otvory;AirCount;Pocet otvorov;select;no;;
Vzduchove otvory;AirType;Typ vzduchovych otvorov;select;no;;
Vzduchove otvory;AirPitch;Roztec otvorov;number;no;;
Fotobunka;PhotoMarkEnabled;Zobrazit fotobunku 20 x 5 mm;checkbox;no;;
Text a koty;fontPx;Velkost textu;range;no;;
Text a koty;measureMode;Meranie (H/V);select;no;;
Text a koty;measure-cancel;Zrusit meranie;button;yes;zmaze prebiehajuce meranie;
Text a koty;measure-clear;Vymazat merania;button;yes;zmaze vsetky merania;
Text a koty;toggle-grid;Mriezka;checkbox;no;;
Podklad;bgFile;Podkladovy obrazok;file;no;;
Podklad;bgWidth;Sirka podkladu (mm);number;no;;
Podklad;bgHeight;Vyska podkladu (mm);number;no;;
Podklad;bg-rot-left;Otocit -90;button;no;;
Podklad;bg-rot-180;Otocit 180;button;no;;
Podklad;bg-flip;Zrkadlit vertikal.;button;no;;
Podklad;bgOpacity;Priehladnost podkladu;range;no;;
Podklad;bg-calib;Kalibracia podkladu;button;yes;ak nesedi importovany obrazok, uprava mierky;
Podklad;bg-calib-cancel;Zrusit kalibraciu;button;no;;
Podklad;bg-clear;Vymazat obrazok;button;no;;
Export;exportSize;Format exportu;select-disabled;no;;
Export;exportOrient;Orientacia exportu;select;no;;
Export;exportDPI;DPI exportu;select-disabled;no;;
Akcie;btn-undo;Spat;button;no;;
Akcie;btn-redo;Dopredu;button;no;;
Akcie;btn-reset;Reset;button;no;;
Akcie;btn-export;Export PDF 1:1;button;no;;
Akcie;btn-print;Tlac dokumentu (PNG);button;no;;
Akcie;btn-save;Ulozit TV;button;no;;
Akcie;loadFile;Nacitat JSON;file-hidden;no;;
Spodne pole;bottomText1;Poznamky;textarea;no;;
Spodne pole;bottomText2;Poznamky technologa;textarea;no;;
Spodne pole;peFoilBand;Podlozny pas PE folie;select;no;;
Spodne pole;sideClipColor;Farba spony;select;no;;
